date,open,high,low,close,volume,date_str,daily_return,daily_volatility,sma_20,sma_50,volume_ma_20
2025-03-06,1.68,1.6868,1.535,1.56,5850576.0,2025-03-06,-0.07692307692307687,0.10071803359257671,2.29725,2.6140999999999996,13018194.25
2025-03-07,1.58,1.62,1.46,1.56,5092633.0,2025-03-07,0.0,0.08610948759071996,2.2327500000000002,2.6199,11897426.35
2025-03-10,1.54,1.55,1.37,1.43,5661637.0,2025-03-10,-0.08333333333333337,0.08144759254789051,2.14725,2.6093,10714708.15
2025-03-11,1.43,1.68,1.41,1.65,8572117.0,2025-03-11,0.15384615384615374,0.09175351198841938,2.07925,2.6033000000000004,9583160.25
2025-03-12,1.72,1.77,1.56,1.63,6887097.0,2025-03-12,-0.012121212121212088,0.0901150402838752,2.0252499999999998,2.5825,9236598.1
2025-03-13,1.65,1.78,1.62,1.72,6417733.0,2025-03-13,0.05521472392638049,0.0917119736835806,1.97925,2.5589,9013901.85
2025-03-14,1.77,1.87,1.67,1.69,10218391.0,2025-03-14,-0.01744186046511631,0.08267842118077619,1.91175,2.5229,8401446.95
2025-03-17,1.73,2.3,1.72,2.24,17531476.0,2025-03-17,0.32544378698224863,0.11227866041061085,1.88625,2.5137,8475430.05
2025-03-18,2.09,2.18,1.87,1.905,11043063.0,2025-03-18,-0.1495535714285715,0.11608351461597742,1.8534999999999997,2.5036,8336097.3
2025-03-19,2.1,2.29,2.0,2.13,15731290.0,2025-03-19,0.11811023622047245,0.11950714488618856,1.8325,2.4644000000000004,8718130.1
2025-03-20,2.12,2.44,2.03,2.14,15806824.0,2025-03-20,0.0046948356807512415,0.11932283518899994,1.816,2.4250000000000003,9121039.65
2025-03-21,2.1,2.32,2.0307,2.26,11642958.0,2025-03-21,0.05607476635513997,0.11743003849177801,1.8182499999999997,2.3928,9134354.9
2025-03-24,2.41,2.65,2.345,2.6,16271955.0,2025-03-24,0.15044247787610643,0.115375141226813,1.85425,2.3816,9368560.5
2025-03-25,2.56,2.638,2.44,2.5,8451668.0,2025-03-25,-0.03846153846153855,0.11354868160858275,1.89325,2.3754000000000004,9251404.25
2025-03-26,2.46,2.625,2.2,2.32,11955826.0,2025-03-26,-0.07200000000000006,0.10927298914173718,1.90775,2.3794,9385750.95
2025-03-27,2.24,2.245,2.06,2.19,10495531.0,2025-03-27,-0.05603448275862066,0.10899439634708549,1.92225,2.3712,9445415.6
2025-03-28,2.12,2.1477,1.85,1.9,7702001.0,2025-03-28,-0.13242009132420096,0.1136482462805461,1.9232500000000001,2.3518,9582765.6
2025-03-31,1.79,2.07,1.76,1.98,7067601.0,2025-03-31,0.04210526315789487,0.11156027923438826,1.93675,2.3256,9639196.7
